"","Team","P","W","D","L","GF","GA","GD","Pts","Rank","Pts Standings"
"1","Brazil","1","1","0","0","2","0","2","3","1","Brazil"
"2","Serbia","2","0","1","1","3","5","-2","1","4","Switzerland"
"3","Switzerland","1","1","0","0","1","0","1","3","2","Cameroon"
"4","Cameroon","2","0","1","1","3","4","-1","1","3","Serbia"
