"","Team","P","W","D","L","GF","GA","GD","Pts","Rank","Pts Standings"
"1","France","2","2","0","0","6","2","4","6","1","France"
"2","Australia","2","1","0","1","2","4","-2","3","2","Australia"
"3","Denmark","2","0","1","1","1","2","-1","1","3","Denmark"
"4","Tunisia","2","0","1","1","0","1","-1","1","3","#N/A"
