"","Team","P","W","D","L","GF","GA","GD","Pts","Rank","Pts Standings"
"1","Belgium","2","1","0","1","1","2","-1","3","3","Croatia"
"2","Canada","2","0","0","2","1","5","-4","0","4","Morocco"
"3","Morocco","2","1","1","0","2","0","2","4","2","Belgium"
"4","Croatia","2","1","1","0","4","1","3","4","1","Canada"
