"","Team","P","W","D","L","GF","GA","GD","Pts","Rank","Pts Standings"
"1","Portugal","2","2","0","0","5","2","3","6","1","Portugal"
"2","Ghana","2","1","0","1","5","5","0","3","2","Ghana"
"3","Uruguay","2","0","1","1","0","2","-2","1","4","Korea Republic"
"4","Korea Republic","2","0","1","1","2","3","-1","1","3","Uruguay"
