"","Team","P","W","D","L","GF","GA","GD","Pts","Rank","Pts Standings"
"1","Spain","2","1","1","0","8","1","7","4","1","Spain"
"2","Costa Rica","2","1","0","1","1","7","-6","3","3","Japan"
"3","Germany","2","0","1","1","2","3","-1","1","4","Costa Rica"
"4","Japan","2","1","0","1","2","2","0","3","2","Germany"
