"","Team","P","W","D","L","GF","GA","GD","Pts","Rank","Pts Standings"
"1","Qatar","2","0","0","2","1","5","-4","0","3","Ecuador"
"2","Ecuador","2","1","1","0","3","1","2","4","1","Senegal"
"3","Senegal","2","1","0","1","3","3","0","3","2","Qatar"
"4","Netherlands","2","1","1","0","3","1","2","4","2","#N/A"
