"","Team","P","W","D","L","GF","GA","GD","Pts","Rank","Pts Standings"
"1","Argentina","2","1","0","1","3","2","1","3","2","Poland"
"2","Saudi Arabia","2","1","0","1","2","3","-1","3","3","Argentina"
"3","Mexico","2","0","1","1","0","2","-2","1","4","Saudi Arabia"
"4","Poland","2","1","1","0","2","0","2","4","1","Mexico"
